code,sido,sigungu,addr_1,addr_2
11110,서울특별시,종로구,서울_종로,서울특별시 종로구
11140,서울특별시,중구,서울_중구,서울특별시 중구
11170,서울특별시,용산구,서울_용산,서울특별시 용산구
11200,서울특별시,성동구,서울_성동,서울특별시 성동구
11215,서울특별시,광진구,서울_광진,서울특별시 광진구
11230,서울특별시,동대문구,서울_동대문,서울특별시 동대문구
11260,서울특별시,중랑구,서울_중랑,서울특별시 중랑구
11290,서울특별시,성북구,서울_성북,서울특별시 성북구
11305,서울특별시,강북구,서울_강북,서울특별시 강북구
11320,서울특별시,도봉구,서울_도봉,서울특별시 도봉구
11350,서울특별시,노원구,서울_노원,서울특별시 노원구
11380,서울특별시,은평구,서울_은평,서울특별시 은평구
11410,서울특별시,서대문구,서울_서대문,서울특별시 서대문구
11440,서울특별시,마포구,서울_마포,서울특별시 마포구
11470,서울특별시,양천구,서울_양천,서울특별시 양천구
11500,서울특별시,강서구,서울_강서,서울특별시 강서구
11530,서울특별시,구로구,서울_구로,서울특별시 구로구
11545,서울특별시,금천구,서울_금천,서울특별시 금천구
11560,서울특별시,영등포구,서울_영등포,서울특별시 영등포구
11590,서울특별시,동작구,서울_동작,서울특별시 동작구
11620,서울특별시,관악구,서울_관악,서울특별시 관악구
11650,서울특별시,서초구,서울_서초,서울특별시 서초구
11680,서울특별시,강남구,서울_강남,서울특별시 강남구
11710,서울특별시,송파구,서울_송파,서울특별시 송파구
11740,서울특별시,강동구,서울_강동,서울특별시 강동구
